ep,kind,rep_of,t_plus_s,t_minus_s,w_b_rpm,duty,period_s,w_hi_rpm,r_last,X_last,P_last_W,r_mean,X_mean,X_blocks,r_blocks,wall_min,worker,status
45,bo,-1,2.1533230280303104,2.930615324063664,300.0,0.4235541186575166,5.083938352093974,687.2231870950168,0.24576828680974777,0.36084531246261714,3.6755601993526477,0.24251512687078697,0.35759215252365606,0.346576;0.360160;0.359912;0.360467;0.360845,0.231499;0.245083;0.244835;0.245390;0.245768,207.31998130083085,worker_14,ok
70,bo,-1,3.848400867061409,0.23567768751164175,300.0,0.9422935469133553,4.0840785545730505,317.25014456899805,0.28257126522827286,0.39960715082256104,3.738126185881564,0.27587422651851623,0.3929101121128046,0.368920;0.397024;0.399335;0.399666;0.399607,0.251884;0.279988;0.282299;0.282630;0.282571,195.53617053031923,worker_20,ok
75,bo,-1,3.636586275739363,0.33446535475776085,300.0,0.9157741107697736,3.971051630497124,325.08754743680834,0.2824491169124624,0.39934594424629993,3.733684665042771,0.27962001734337893,0.3965168446772163,0.374155;0.405197;0.403082;0.400804;0.399346,0.257258;0.288300;0.286185;0.283907;0.282449,193.93916477362316,worker_41,ok
74,bo,-1,3.4,0.3,300.0,0.918918918918919,3.6999999999999997,326.3528276124905,0.2877389227722844,0.40465019220612186,3.7341459457167683,0.28042914710995437,0.3973404165437917,0.371621;0.402899;0.404667;0.402865;0.404650,0.254710;0.285987;0.287755;0.285954;0.287739,194.21736590067545,worker_38,ok
76,bo,-1,5.0,1.6,300.0,0.7575757575757576,6.6,390.0343730592463,0.27417326476182907,0.38984303513648444,3.6944924657664924,0.2679848347925181,0.38365460516717337,0.361058;0.387408;0.389996;0.389968;0.389843,0.245388;0.271738;0.274327;0.274298;0.274173,194.64772184292477,worker_43,ok
72,bo,-1,1.0,0.5,300.0,0.6666666666666666,1.5,445.6597074051041,0.2796376379944341,0.39615110362839256,3.721440092348633,0.2687330691005363,0.3852465347344946,0.355000;0.387455;0.392493;0.395134;0.396151,0.238486;0.270941;0.275980;0.278620;0.279638,197.0189152042071,worker_18,ok
77,bo,-1,1.0,0.7000000000000001,300.0,0.588235294117647,1.7000000000000002,503.1423329351584,0.26588628262259606,0.38216903877192543,3.71407123140958,0.2541955418712872,0.37047829802061627,0.345336;0.364732;0.379121;0.381034;0.382169,0.229053;0.248449;0.262838;0.264752;0.265886,193.11445434888205,worker_16,ok
78,bo,-1,2.8804608447670375,0.4965033340204078,300.0,0.8529734673707182,3.3769641787874454,346.2778097082824,0.2898387167355725,0.40643690325715964,3.7241460774994932,0.2797346103755832,0.3963327968971705,0.367255;0.399910;0.404449;0.403614;0.406437,0.250657;0.283312;0.287850;0.287015;0.289839,194.10156534910203,worker_21,ok
79,bo,-1,2.9936207895474736,0.5008771765707631,300.0,0.8566669142671878,3.494497966118237,346.7473650998983,0.2878447223125128,0.4044677474525829,3.7249394229738404,0.2807182848711117,0.3973413100111819,0.370232;0.403506;0.403387;0.405114;0.404468,0.253609;0.286883;0.286764;0.288491;0.287845,194.21550464232763,worker_30,ok
80,bo,-1,5.0,0.7000000000000001,300.0,0.8771929824561403,5.7,336.1983073997153,0.27788252105554917,0.39449715193412455,3.724671310261698,0.2706476900173019,0.38726232089587725,0.363677;0.389664;0.394045;0.394429;0.394497,0.247062;0.273050;0.277430;0.277814;0.277883,190.65604838530223,worker_33,ok
