t,Mz_kin,conv,cupC,wallFlux
48.908693,1.4056314e-08,0.36365258,31.817371,8.3961159e-09
48.909461,1.4056492e-08,0.3717782,31.41109,8.4202058e-09
48.910136,1.4055581e-08,0.37285562,31.357219,8.4364273e-09
48.910817,1.4053925e-08,0.36820885,31.589558,8.4447725e-09
48.911503,1.4051819e-08,0.35967765,32.016118,8.444861e-09
48.912247,1.404943e-08,0.34968994,32.515503,8.4383691e-09
48.913075,1.4047058e-08,0.34053012,32.973494,8.4268633e-09
48.914009,1.4045108e-08,0.33339496,33.330252,8.4112731e-09
48.915071,1.4044073e-08,0.3286334,33.56833,8.3925174e-09
48.916302,1.4044569e-08,0.32652033,33.673983,8.3719028e-09
48.917721,1.4047316e-08,0.32885568,33.557216,8.3545584e-09
48.919334,1.4052849e-08,0.34123942,32.938029,8.3584918e-09
48.920306,1.4055648e-08,0.35556,32.222,8.3803021e-09
48.921072,1.4056581e-08,0.36643658,31.678171,8.4041852e-09
48.92179,1.4056239e-08,0.37178627,31.410686,8.4251595e-09
48.92247,1.4054994e-08,0.3707287,31.463565,8.4385737e-09
48.92315,1.4053139e-08,0.36456068,31.771966,8.443663e-09
48.923855,1.4050906e-08,0.35546015,32.226993,8.4411906e-09
48.92464,1.4048481e-08,0.34567696,32.716152,8.4326759e-09
48.925516,1.4046259e-08,0.33727582,33.136209,8.4194957e-09
48.926509,1.4044675e-08,0.33110851,33.444575,8.4026423e-09
48.92764,1.4044261e-08,0.32748202,33.625899,8.3832607e-09
48.928955,1.404569e-08,0.32690903,33.654549,8.363755e-09
48.930436,1.4049489e-08,0.33244502,33.377749,8.3530545e-09
48.931948,1.4054935e-08,0.34996086,32.501957,8.3728978e-09
48.93268,1.4056449e-08,0.36179328,31.910336,8.3929615e-09
48.933453,1.4056699e-08,0.37121365,31.439317,8.4166422e-09
48.934126,1.4055825e-08,0.37352276,31.323862,8.4335961e-09
48.934805,1.4054182e-08,0.36980922,31.509539,8.4433603e-09
48.935484,1.4052077e-08,0.36168491,31.915754,8.4447455e-09
48.936217,1.4049669e-08,0.35150293,32.424853,8.4391424e-09
48.937035,1.4047237e-08,0.34176094,32.911953,8.4280193e-09
48.937961,1.4045189e-08,0.33405435,33.297283,8.4124177e-09
48.939012,1.4044029e-08,0.32893795,33.553103,8.3933632e-09
48.940232,1.4044372e-08,0.32678039,33.66098,8.3722446e-09
48.941622,1.4046858e-08,0.32886004,33.556998,8.3537546e-09
48.9432,1.4051984e-08,0.33970747,33.014626,8.3519357e-09
48.944292,1.4055356e-08,0.35547409,32.226296,8.3725721e-09
48.945055,1.4056477e-08,0.36696274,31.651863,8.3956924e-09
48.945798,1.405632e-08,0.37343865,31.328067,8.4183209e-09
48.946484,1.4055211e-08,0.37298354,31.350823,8.4333331e-09
48.94717,1.4053451e-08,0.36695634,31.652183,8.4400083e-09
48.947874,1.405129e-08,0.35754961,32.12252,8.4384286e-09
48.948652,1.4048908e-08,0.34736829,32.631585,8.4303233e-09
48.949523,1.4046673e-08,0.33875943,33.062028,8.4173129e-09
48.950512,1.4045035e-08,0.33268621,33.36569,8.4005644e-09
48.951637,1.4044537e-08,0.32966392,33.516804,8.3813822e-09
48.952944,1.4045845e-08,0.33012929,33.493535,8.3623105e-09
48.954415,1.4049486e-08,0.33660863,33.169568,8.3534983e-09
48.955885,1.4054562e-08,0.35379618,32.310191,8.3762943e-09
48.956608,1.4055954e-08,0.36423922,31.788039,8.3982686e-09
48.957369,1.4056102e-08,0.37152346,31.423827,8.4221693e-09
48.958046,1.4055173e-08,0.37204881,31.39756,8.4379388e-09
48.958723,1.4053514e-08,0.36708856,31.645572,8.445571e-09
48.959411,1.4051398e-08,0.3585259,32.073705,8.4451085e-09
48.960149,1.4049021e-08,0.34889311,32.555344,8.4383373e-09
48.960979,1.4046642e-08,0.34011009,32.994496,8.4265623e-09
48.961908,1.40447e-08,0.33341069,33.329466,8.4108696e-09
48.962966,1.4043656e-08,0.32894156,33.552922,8.3919617e-09
48.964201,1.4044157e-08,0.32697424,33.651288,8.3709981e-09
